#  Extinction, Scattering, and Absorption Properties Computed for
2.880e-01,6.042e-01,5.528e-01,9.260e-22,2.620e+04,5.733e-01
2.820e-01,6.008e-01,5.503e-01,9.450e-22,2.700e+04,5.729e-01
2.750e-01,5.973e-01,5.480e-01,9.660e-22,2.780e+04,5.727e-01
2.690e-01,5.933e-01,5.462e-01,9.880e-22,2.880e+04,5.727e-01
2.630e-01,5.888e-01,5.447e-01,1.010e-21,2.980e+04,5.730e-01
2.570e-01,5.834e-01,5.436e-01,1.040e-21,3.100e+04,5.734e-01
2.510e-01,5.762e-01,5.428e-01,1.070e-21,3.250e+04,5.740e-01
2.450e-01,5.675e-01,5.424e-01,1.110e-21,3.430e+04,5.748e-01
2.400e-01,5.567e-01,5.424e-01,1.150e-21,3.650e+04,5.758e-01
2.340e-01,5.426e-01,5.439e-01,1.200e-21,3.910e+04,5.773e-01
2.290e-01,5.279e-01,5.463e-01,1.240e-21,4.190e+04,5.792e-01
2.240e-01,5.151e-01,5.492e-01,1.280e-21,4.440e+04,5.810e-01
2.230e-01,5.122e-01,5.501e-01,1.290e-21,4.500e+04,5.815e-01
2.200e-01,5.077e-01,5.520e-01,1.300e-21,4.580e+04,5.825e-01
2.190e-01,5.060e-01,5.531e-01,1.310e-21,4.610e+04,5.830e-01
2.180e-01,5.046e-01,5.544e-01,1.310e-21,4.630e+04,5.837e-01
2.150e-01,5.034e-01,5.572e-01,1.310e-21,4.640e+04,5.849e-01
2.140e-01,5.035e-01,5.586e-01,1.300e-21,4.620e+04,5.856e-01
2.130e-01,5.043e-01,5.601e-01,1.300e-21,4.600e+04,5.862e-01
2.090e-01,5.082e-01,5.644e-01,1.280e-21,4.490e+04,5.881e-01
2.040e-01,5.155e-01,5.705e-01,1.240e-21,4.300e+04,5.906e-01
2.000e-01,5.212e-01,5.774e-01,1.200e-21,4.120e+04,5.935e-01
1.950e-01,5.234e-01,5.850e-01,1.170e-21,4.000e+04,5.968e-01
1.910e-01,5.211e-01,5.932e-01,1.150e-21,3.930e+04,6.006e-01
1.860e-01,5.150e-01,6.014e-01,1.130e-21,3.930e+04,6.048e-01
1.820e-01,5.050e-01,6.100e-01,1.120e-21,3.980e+04,6.096e-01
1.780e-01,4.924e-01,6.190e-01,1.120e-21,4.060e+04,6.150e-01
1.740e-01,4.784e-01,6.278e-01,1.120e-21,4.180e+04,6.208e-01
1.700e-01,4.643e-01,6.358e-01,1.120e-21,4.300e+04,6.267e-01
1.660e-01,4.505e-01,6.433e-01,1.130e-21,4.440e+04,6.328e-01
1.620e-01,4.377e-01,6.497e-01,1.140e-21,4.580e+04,6.388e-01
1.580e-01,4.262e-01,6.550e-01,1.150e-21,4.730e+04,6.448e-01
1.550e-01,4.162e-01,6.593e-01,1.170e-21,4.890e+04,6.507e-01
1.510e-01,4.068e-01,6.633e-01,1.190e-21,5.060e+04,6.567e-01
1.480e-01,3.986e-01,6.673e-01,1.220e-21,5.240e+04,6.625e-01
1.450e-01,3.916e-01,6.719e-01,1.240e-21,5.410e+04,6.682e-01
1.410e-01,3.863e-01,6.766e-01,1.270e-21,5.570e+04,6.730e-01
1.380e-01,3.825e-01,6.795e-01,1.290e-21,5.710e+04,6.759e-01
1.350e-01,3.789e-01,6.807e-01,1.320e-21,5.870e+04,6.777e-01
1.320e-01,3.748e-01,6.808e-01,1.350e-21,6.040e+04,6.788e-01
1.290e-01,3.692e-01,6.801e-01,1.390e-21,6.250e+04,6.796e-01
1.260e-01,3.632e-01,6.789e-01,1.420e-21,6.470e+04,6.803e-01
1.230e-01,3.565e-01,6.774e-01,1.460e-21,6.710e+04,6.810e-01
1.220e-01,3.527e-01,6.764e-01,1.480e-21,6.850e+04,6.814e-01
1.200e-01,3.494e-01,6.755e-01,1.500e-21,6.980e+04,6.816e-01
1.170e-01,3.424e-01,6.730e-01,1.550e-21,7.270e+04,6.820e-01
1.150e-01,3.357e-01,6.698e-01,1.590e-21,7.570e+04,6.819e-01
1.120e-01,3.302e-01,6.636e-01,1.650e-21,7.880e+04,6.804e-01
1.100e-01,3.232e-01,6.591e-01,1.700e-21,8.250e+04,6.795e-01
1.100e-01,3.216e-01,6.584e-01,1.720e-21,8.320e+04,6.794e-01
1.070e-01,3.091e-01,6.532e-01,1.820e-21,8.980e+04,6.784e-01
1.050e-01,2.963e-01,6.503e-01,1.920e-21,9.660e+04,6.786e-01
1.020e-01,2.850e-01,6.494e-01,2.010e-21,1.030e+05,6.801e-01
1.000e-01,2.761e-01,6.501e-01,2.080e-21,1.080e+05,6.823e-01
9.770e-02,2.658e-01,6.496e-01,2.180e-21,1.150e+05,6.836e-01
9.550e-02,2.536e-01,6.516e-01,2.290e-21,1.220e+05,6.862e-01
9.330e-02,2.457e-01,6.562e-01,2.360e-21,1.270e+05,6.901e-01
9.120e-02,2.386e-01,6.619e-01,2.410e-21,1.310e+05,6.947e-01
9.120e-02,2.386e-01,6.619e-01,2.410e-21,1.310e+05,6.947e-01
8.910e-02,2.329e-01,6.715e-01,2.420e-21,1.330e+05,7.014e-01
8.710e-02,2.329e-01,6.751e-01,2.430e-21,1.330e+05,7.040e-01
8.510e-02,2.330e-01,6.763e-01,2.450e-21,1.340e+05,7.053e-01
8.320e-02,2.313e-01,6.769e-01,2.490e-21,1.370e+05,7.062e-01
8.130e-02,2.272e-01,6.765e-01,2.560e-21,1.410e+05,7.068e-01
7.940e-02,2.211e-01,6.759e-01,2.650e-21,1.480e+05,7.073e-01
7.760e-02,2.135e-01,6.750e-01,2.770e-21,1.560e+05,7.076e-01
7.590e-02,2.041e-01,6.764e-01,2.910e-21,1.660e+05,7.091e-01
7.410e-02,1.956e-01,6.791e-01,3.030e-21,1.740e+05,7.114e-01
7.240e-02,1.902e-01,6.829e-01,3.100e-21,1.790e+05,7.143e-01
7.080e-02,1.908e-01,6.880e-01,3.060e-21,1.770e+05,7.177e-01
6.920e-02,1.965e-01,6.945e-01,2.940e-21,1.690e+05,7.219e-01
6.760e-02,2.047e-01,7.033e-01,2.770e-21,1.570e+05,7.274e-01
6.610e-02,2.127e-01,7.132e-01,2.610e-21,1.470e+05,7.337e-01
6.460e-02,2.206e-01,7.238e-01,2.450e-21,1.370e+05,7.405e-01
6.310e-02,2.281e-01,7.342e-01,2.320e-21,1.280e+05,7.472e-01
6.170e-02,2.351e-01,7.445e-01,2.200e-21,1.200e+05,7.541e-01
6.030e-02,2.416e-01,7.543e-01,2.090e-21,1.140e+05,7.608e-01
5.890e-02,2.478e-01,7.637e-01,2.000e-21,1.080e+05,7.672e-01
5.750e-02,2.580e-01,7.655e-01,1.910e-21,1.010e+05,7.695e-01
5.620e-02,2.579e-01,7.735e-01,1.880e-21,9.950e+04,7.752e-01
5.500e-02,2.601e-01,7.810e-01,1.830e-21,9.710e+04,7.805e-01
5.370e-02,2.634e-01,7.880e-01,1.790e-21,9.430e+04,7.854e-01
5.250e-02,2.672e-01,7.946e-01,1.750e-21,9.170e+04,7.900e-01
5.130e-02,2.716e-01,8.009e-01,1.710e-21,8.900e+04,7.943e-01
5.010e-02,2.762e-01,8.070e-01,1.670e-21,8.640e+04,7.985e-01
4.900e-02,2.810e-01,8.129e-01,1.630e-21,8.380e+04,8.025e-01
4.880e-02,2.817e-01,8.138e-01,1.620e-21,8.340e+04,8.031e-01
4.790e-02,2.860e-01,8.189e-01,1.590e-21,8.130e+04,8.066e-01
4.680e-02,2.914e-01,8.250e-01,1.550e-21,7.870e+04,8.109e-01
4.570e-02,2.968e-01,8.313e-01,1.510e-21,7.610e+04,8.153e-01
4.470e-02,3.016e-01,8.377e-01,1.480e-21,7.390e+04,8.201e-01
4.370e-02,3.070e-01,8.442e-01,1.440e-21,7.140e+04,8.250e-01
4.270e-02,3.123e-01,8.513e-01,1.400e-21,6.890e+04,8.305e-01
4.170e-02,3.148e-01,8.594e-01,1.370e-21,6.700e+04,8.375e-01
4.070e-02,3.167e-01,8.662e-01,1.340e-21,6.550e+04,8.437e-01
3.980e-02,3.191e-01,8.720e-01,1.320e-21,6.400e+04,8.491e-01
3.890e-02,3.215e-01,8.777e-01,1.290e-21,6.270e+04,8.544e-01
3.800e-02,3.237e-01,8.829e-01,1.270e-21,6.140e+04,8.594e-01
3.720e-02,3.260e-01,8.878e-01,1.250e-21,6.020e+04,8.642e-01
3.630e-02,3.282e-01,8.928e-01,1.230e-21,5.900e+04,8.691e-01
3.550e-02,3.285e-01,8.981e-01,1.210e-21,5.800e+04,8.746e-01
3.470e-02,3.241e-01,9.010e-01,1.210e-21,5.870e+04,8.779e-01
3.390e-02,3.269e-01,9.031e-01,1.210e-21,5.810e+04,8.799e-01
3.310e-02,3.329e-01,9.057e-01,1.190e-21,5.660e+04,8.823e-01
3.240e-02,3.373e-01,9.092e-01,1.170e-21,5.530e+04,8.856e-01
3.160e-02,3.416e-01,9.125e-01,1.150e-21,5.400e+04,8.890e-01
3.090e-02,3.458e-01,9.159e-01,1.130e-21,5.280e+04,8.924e-01
3.020e-02,3.498e-01,9.193e-01,1.110e-21,5.160e+04,8.959e-01
2.950e-02,3.537e-01,9.227e-01,1.090e-21,5.050e+04,8.995e-01
2.880e-02,3.574e-01,9.261e-01,1.070e-21,4.940e+04,9.031e-01
2.820e-02,3.608e-01,9.294e-01,1.060e-21,4.830e+04,9.067e-01
2.750e-02,3.632e-01,9.327e-01,1.040e-21,4.740e+04,9.104e-01
2.690e-02,3.663e-01,9.355e-01,1.030e-21,4.650e+04,9.136e-01
2.630e-02,3.695e-01,9.385e-01,1.010e-21,4.560e+04,9.170e-01
2.570e-02,3.720e-01,9.416e-01,9.940e-22,4.470e+04,9.206e-01
2.510e-02,3.734e-01,9.446e-01,9.790e-22,4.390e+04,9.242e-01
2.450e-02,3.741e-01,9.476e-01,9.640e-22,4.320e+04,9.278e-01
2.400e-02,3.721e-01,9.507e-01,9.500e-22,4.260e+04,9.317e-01
2.340e-02,3.666e-01,9.529e-01,9.470e-22,4.290e+04,9.346e-01
2.290e-02,3.644e-01,9.502e-01,1.000e-21,4.540e+04,9.316e-01
2.280e-02,3.689e-01,9.489e-01,1.010e-21,4.560e+04,9.299e-01
2.240e-02,3.854e-01,9.487e-01,9.980e-22,4.390e+04,9.292e-01
2.190e-02,3.967e-01,9.530e-01,9.580e-22,4.140e+04,9.340e-01
2.140e-02,3.974e-01,9.564e-01,9.380e-22,4.040e+04,9.382e-01
2.090e-02,3.992e-01,9.588e-01,9.250e-22,3.970e+04,9.413e-01
2.040e-02,3.995e-01,9.608e-01,9.170e-22,3.940e+04,9.439e-01
2.000e-02,4.015e-01,9.618e-01,9.180e-22,3.930e+04,9.451e-01
1.950e-02,4.093e-01,9.631e-01,9.100e-22,3.840e+04,9.466e-01
1.910e-02,4.153e-01,9.649e-01,8.960e-22,3.750e+04,9.490e-01
1.860e-02,4.197e-01,9.670e-01,8.820e-22,3.660e+04,9.517e-01
1.820e-02,4.216e-01,9.691e-01,8.680e-22,3.590e+04,9.545e-01
1.780e-02,4.217e-01,9.705e-01,8.630e-22,3.570e+04,9.564e-01
1.740e-02,4.262e-01,9.718e-01,8.550e-22,3.510e+04,9.581e-01
1.700e-02,4.284e-01,9.732e-01,8.480e-22,3.470e+04,9.599e-01
1.660e-02,4.341e-01,9.744e-01,8.390e-22,3.400e+04,9.616e-01
1.620e-02,4.367e-01,9.759e-01,8.290e-22,3.340e+04,9.636e-01
1.580e-02,4.397e-01,9.772e-01,8.200e-22,3.290e+04,9.654e-01
1.550e-02,4.428e-01,9.784e-01,8.120e-22,3.240e+04,9.671e-01
1.510e-02,4.459e-01,9.796e-01,8.030e-22,3.180e+04,9.688e-01
1.480e-02,4.486e-01,9.807e-01,7.940e-22,3.130e+04,9.704e-01
1.450e-02,4.513e-01,9.818e-01,7.850e-22,3.080e+04,9.720e-01
1.410e-02,4.537e-01,9.829e-01,7.750e-22,3.030e+04,9.736e-01
1.380e-02,4.551e-01,9.840e-01,7.650e-22,2.980e+04,9.752e-01
1.350e-02,4.532e-01,9.851e-01,7.540e-22,2.950e+04,9.768e-01
1.320e-02,4.533e-01,9.855e-01,7.570e-22,2.960e+04,9.773e-01
1.290e-02,4.561e-01,9.866e-01,7.420e-22,2.890e+04,9.790e-01
1.260e-02,4.553e-01,9.874e-01,7.330e-22,2.860e+04,9.803e-01
1.240e-02,4.523e-01,9.881e-01,7.240e-22,2.840e+04,9.813e-01
1.230e-02,4.496e-01,9.884e-01,7.220e-22,2.840e+04,9.817e-01
1.200e-02,4.340e-01,9.894e-01,7.080e-22,2.870e+04,9.833e-01
1.190e-02,4.199e-01,9.894e-01,7.150e-22,2.970e+04,9.834e-01
1.180e-02,4.128e-01,9.875e-01,7.810e-22,3.280e+04,9.806e-01
1.180e-02,4.177e-01,9.864e-01,8.060e-22,3.360e+04,9.790e-01
1.170e-02,4.199e-01,9.860e-01,8.140e-22,3.380e+04,9.784e-01
1.170e-02,4.213e-01,9.857e-01,8.180e-22,3.390e+04,9.781e-01
1.170e-02,4.267e-01,9.855e-01,8.200e-22,3.360e+04,9.777e-01
1.170e-02,4.323e-01,9.853e-01,8.210e-22,3.330e+04,9.773e-01
1.150e-02,4.640e-01,9.872e-01,7.730e-22,2.960e+04,9.798e-01
1.120e-02,4.636e-01,9.885e-01,7.510e-22,2.880e+04,9.819e-01
1.100e-02,4.597e-01,9.887e-01,7.560e-22,2.920e+04,9.822e-01
1.070e-02,4.765e-01,9.891e-01,7.500e-22,2.810e+04,9.827e-01
1.050e-02,4.831e-01,9.901e-01,7.300e-22,2.700e+04,9.843e-01
1.020e-02,4.781e-01,9.906e-01,7.260e-22,2.710e+04,9.851e-01
1.000e-02,4.814e-01,9.908e-01,7.280e-22,2.700e+04,9.853e-01
9.770e-03,4.961e-01,9.910e-01,7.240e-22,2.610e+04,9.856e-01
9.550e-03,5.052e-01,9.918e-01,7.090e-22,2.510e+04,9.867e-01
9.330e-03,5.103e-01,9.924e-01,6.980e-22,2.440e+04,9.877e-01
9.120e-03,5.140e-01,9.929e-01,6.870e-22,2.390e+04,9.885e-01
8.910e-03,5.164e-01,9.933e-01,6.790e-22,2.350e+04,9.892e-01
8.710e-03,5.192e-01,9.937e-01,6.710e-22,2.310e+04,9.898e-01
8.510e-03,5.225e-01,9.941e-01,6.630e-22,2.270e+04,9.904e-01
8.320e-03,5.251e-01,9.944e-01,6.560e-22,2.230e+04,9.909e-01
8.130e-03,5.265e-01,9.948e-01,6.470e-22,2.190e+04,9.915e-01
7.980e-03,5.164e-01,9.949e-01,6.490e-22,2.250e+04,9.916e-01
7.970e-03,5.174e-01,9.948e-01,6.510e-22,2.250e+04,9.916e-01
7.960e-03,5.189e-01,9.948e-01,6.510e-22,2.240e+04,9.916e-01
7.950e-02,2.213e-01,6.759e-01,2.650e-21,1.480e+05,7.073e-01
7.900e-02,2.193e-01,6.757e-01,2.680e-21,1.500e+05,7.074e-01
7.940e-03,5.213e-01,9.948e-01,6.520e-22,2.230e+04,9.916e-01
7.760e-03,5.339e-01,9.952e-01,6.400e-22,2.130e+04,9.921e-01
7.590e-03,5.358e-01,9.954e-01,6.340e-22,2.100e+04,9.925e-01
7.410e-03,5.437e-01,9.957e-01,6.260e-22,2.040e+04,9.930e-01
7.240e-03,5.456e-01,9.960e-01,6.180e-22,2.010e+04,9.934e-01
7.080e-03,5.501e-01,9.962e-01,6.120e-22,1.970e+04,9.937e-01
6.920e-03,5.571e-01,9.964e-01,6.040e-22,1.910e+04,9.941e-01
6.760e-03,5.620e-01,9.966e-01,5.950e-22,1.870e+04,9.944e-01
6.610e-03,5.665e-01,9.968e-01,5.870e-22,1.820e+04,9.948e-01
6.460e-03,5.707e-01,9.970e-01,5.790e-22,1.780e+04,9.951e-01
6.310e-03,5.749e-01,9.972e-01,5.710e-22,1.740e+04,9.954e-01
6.170e-03,5.793e-01,9.974e-01,5.630e-22,1.690e+04,9.956e-01
6.030e-03,5.837e-01,9.975e-01,5.540e-22,1.650e+04,9.959e-01
5.890e-03,5.881e-01,9.977e-01,5.460e-22,1.610e+04,9.961e-01
5.750e-03,5.923e-01,9.978e-01,5.370e-22,1.570e+04,9.964e-01
5.620e-03,5.963e-01,9.980e-01,5.280e-22,1.520e+04,9.966e-01
5.500e-03,6.004e-01,9.981e-01,5.180e-22,1.480e+04,9.968e-01
5.370e-03,6.043e-01,9.982e-01,5.090e-22,1.440e+04,9.970e-01
5.250e-03,6.078e-01,9.983e-01,4.990e-22,1.400e+04,9.972e-01
5.130e-03,6.107e-01,9.984e-01,4.880e-22,1.360e+04,9.973e-01
5.010e-03,6.129e-01,9.985e-01,4.760e-22,1.320e+04,9.975e-01
4.900e-03,6.143e-01,9.986e-01,4.630e-22,1.280e+04,9.976e-01
4.790e-03,6.149e-01,9.987e-01,4.490e-22,1.240e+04,9.978e-01
4.680e-03,6.130e-01,9.987e-01,4.330e-22,1.200e+04,9.979e-01
4.570e-03,6.089e-01,9.988e-01,4.150e-22,1.160e+04,9.980e-01
4.470e-03,6.017e-01,9.988e-01,3.940e-22,1.120e+04,9.980e-01
4.430e-03,6.034e-01,9.989e-01,3.910e-22,1.110e+04,9.980e-01
4.410e-03,6.087e-01,9.989e-01,3.940e-22,1.100e+04,9.981e-01
4.400e-03,6.191e-01,9.989e-01,4.020e-22,1.100e+04,9.982e-01
4.380e-03,6.376e-01,9.990e-01,4.290e-22,1.110e+04,9.983e-01
4.370e-03,6.521e-01,9.990e-01,4.540e-22,1.130e+04,9.983e-01
4.370e-03,6.577e-01,9.988e-01,4.990e-22,1.220e+04,9.981e-01
4.370e-03,6.508e-01,9.988e-01,5.030e-22,1.260e+04,9.981e-01
4.360e-03,5.219e-01,9.982e-01,5.910e-22,2.020e+04,9.974e-01
4.350e-03,4.519e-01,9.978e-01,6.650e-22,2.610e+04,9.970e-01
4.350e-03,4.360e-01,9.977e-01,6.850e-22,2.760e+04,9.968e-01
4.340e-03,4.269e-01,9.976e-01,6.980e-22,2.860e+04,9.968e-01
4.340e-03,4.319e-01,9.978e-01,6.840e-22,2.780e+04,9.969e-01
4.340e-03,4.464e-01,9.980e-01,6.550e-22,2.590e+04,9.972e-01
4.340e-03,4.723e-01,9.984e-01,6.040e-22,2.280e+04,9.976e-01
4.330e-03,4.906e-01,9.987e-01,5.620e-22,2.050e+04,9.979e-01
4.320e-03,5.005e-01,9.988e-01,5.370e-22,1.920e+04,9.981e-01
4.310e-03,5.047e-01,9.988e-01,5.230e-22,1.850e+04,9.981e-01
4.290e-03,5.102e-01,9.989e-01,5.120e-22,1.790e+04,9.982e-01
4.280e-03,5.179e-01,9.989e-01,4.940e-22,1.700e+04,9.982e-01
4.270e-03,5.188e-01,9.990e-01,4.870e-22,1.680e+04,9.982e-01
4.270e-03,5.189e-01,9.990e-01,4.860e-22,1.670e+04,9.982e-01
4.260e-03,5.197e-01,9.990e-01,4.860e-22,1.670e+04,9.983e-01
4.260e-03,5.132e-01,9.989e-01,5.000e-22,1.740e+04,9.982e-01
4.250e-03,4.945e-01,9.988e-01,5.370e-22,1.940e+04,9.981e-01
4.250e-03,4.843e-01,9.988e-01,5.540e-22,2.040e+04,9.981e-01
4.230e-03,4.842e-01,9.988e-01,5.570e-22,2.050e+04,9.981e-01
4.220e-03,4.875e-01,9.988e-01,5.550e-22,2.030e+04,9.981e-01
4.200e-03,4.916e-01,9.988e-01,5.510e-22,2.000e+04,9.981e-01
4.190e-03,4.972e-01,9.988e-01,5.470e-22,1.970e+04,9.981e-01
4.170e-03,5.080e-01,9.989e-01,5.310e-22,1.870e+04,9.982e-01
4.170e-03,5.096e-01,9.989e-01,5.280e-22,1.850e+04,9.982e-01
4.160e-03,5.106e-01,9.989e-01,5.250e-22,1.840e+04,9.982e-01
4.150e-03,5.139e-01,9.989e-01,5.190e-22,1.810e+04,9.983e-01
4.130e-03,5.175e-01,9.989e-01,5.120e-22,1.770e+04,9.983e-01
4.110e-03,5.128e-01,9.990e-01,5.120e-22,1.780e+04,9.983e-01
4.080e-03,5.059e-01,9.989e-01,5.240e-22,1.850e+04,9.983e-01
4.070e-03,5.059e-01,9.989e-01,5.250e-22,1.850e+04,9.983e-01
4.050e-03,5.047e-01,9.989e-01,5.270e-22,1.870e+04,9.983e-01
3.980e-03,5.161e-01,9.989e-01,5.280e-22,1.830e+04,9.983e-01
3.890e-03,5.423e-01,9.990e-01,4.990e-22,1.630e+04,9.985e-01
3.800e-03,5.511e-01,9.991e-01,4.840e-22,1.560e+04,9.986e-01
3.720e-03,5.565e-01,9.992e-01,4.740e-22,1.500e+04,9.987e-01
3.630e-03,5.628e-01,9.992e-01,4.650e-22,1.450e+04,9.988e-01
3.550e-03,5.696e-01,9.992e-01,4.550e-22,1.400e+04,9.988e-01
3.470e-03,5.763e-01,9.993e-01,4.440e-22,1.350e+04,9.989e-01
3.390e-03,5.829e-01,9.993e-01,4.340e-22,1.300e+04,9.990e-01
3.310e-03,5.891e-01,9.994e-01,4.240e-22,1.250e+04,9.990e-01
3.240e-03,5.950e-01,9.994e-01,4.130e-22,1.200e+04,9.991e-01
3.160e-03,6.007e-01,9.994e-01,4.020e-22,1.150e+04,9.991e-01
3.090e-03,6.062e-01,9.994e-01,3.910e-22,1.100e+04,9.992e-01
3.020e-03,6.111e-01,9.995e-01,3.810e-22,1.060e+04,9.992e-01
2.950e-03,6.159e-01,9.995e-01,3.700e-22,1.020e+04,9.992e-01
2.880e-03,6.204e-01,9.995e-01,3.580e-22,9.720e+03,9.993e-01
2.820e-03,6.247e-01,9.995e-01,3.470e-22,9.300e+03,9.993e-01
2.750e-03,6.286e-01,9.996e-01,3.350e-22,8.890e+03,9.994e-01
2.690e-03,6.315e-01,9.996e-01,3.230e-22,8.510e+03,9.994e-01
2.630e-03,6.337e-01,9.996e-01,3.100e-22,8.130e+03,9.994e-01
2.570e-03,6.348e-01,9.996e-01,2.970e-22,7.760e+03,9.994e-01
2.510e-03,6.338e-01,9.996e-01,2.830e-22,7.410e+03,9.995e-01
2.450e-03,6.284e-01,9.997e-01,2.660e-22,7.080e+03,9.995e-01
2.400e-03,6.160e-01,9.997e-01,2.460e-22,6.750e+03,9.995e-01
2.380e-03,6.112e-01,9.997e-01,2.400e-22,6.660e+03,9.995e-01
2.360e-03,5.953e-01,9.997e-01,2.260e-22,6.530e+03,9.995e-01
2.350e-03,5.635e-01,9.996e-01,2.130e-22,6.650e+03,9.995e-01
2.340e-03,5.413e-01,9.996e-01,2.160e-22,7.080e+03,9.995e-01
2.340e-03,5.325e-01,9.996e-01,2.140e-22,7.160e+03,9.995e-01
2.330e-03,5.241e-01,9.996e-01,2.100e-22,7.140e+03,9.995e-01
2.330e-03,5.066e-01,9.996e-01,2.040e-22,7.210e+03,9.995e-01
2.330e-03,4.780e-01,9.996e-01,2.020e-22,7.540e+03,9.995e-01
2.320e-03,4.493e-01,9.996e-01,1.950e-22,7.700e+03,9.994e-01
2.320e-03,3.865e-01,9.995e-01,1.950e-22,8.550e+03,9.994e-01
2.310e-03,3.139e-01,9.995e-01,2.200e-22,1.080e+04,9.994e-01
2.310e-03,2.941e-01,9.995e-01,2.500e-22,1.260e+04,9.994e-01
2.310e-03,3.017e-01,9.995e-01,3.200e-22,1.600e+04,9.994e-01
2.310e-03,3.195e-01,9.995e-01,3.590e-22,1.750e+04,9.993e-01
2.310e-03,3.295e-01,9.995e-01,3.690e-22,1.770e+04,9.993e-01
2.310e-03,3.426e-01,9.996e-01,3.720e-22,1.750e+04,9.993e-01
2.300e-03,3.560e-01,9.996e-01,3.740e-22,1.720e+04,9.993e-01
2.300e-03,3.853e-01,9.996e-01,3.650e-22,1.610e+04,9.994e-01
2.300e-03,4.144e-01,9.996e-01,3.550e-22,1.490e+04,9.994e-01
2.300e-03,4.225e-01,9.996e-01,3.490e-22,1.440e+04,9.994e-01
2.290e-03,4.466e-01,9.996e-01,3.060e-22,1.210e+04,9.995e-01
